?,Breed,Alias,BreedAdultPicture,,MinWeightMale,MinWeightFemale,MaxWeightMale,MaxWeightFemale,Size,MinHeightMale,MinHeightFemale,MaxHeightMale,MaxHeightFemale,MinLifeExpectancy,MaxLifeExpectancy,Group,GoodWithKids,CatFriendly,DogFriendly,Trainability,Shedding,Watchdog,Intelligence,Grooming,Popularity,Adaptability,HypoAllergenic,MinPuppyCost,MaxPuppyCost
,Toy Bulldog,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,
,Transylvanian Hound,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,,
,Tibetan Terrier,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Toy Manchester Terrier,,,,,,,,Small,,,,,15,16,,,,,,,,,,,,,,
,Tibetan Mastiff,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,Thai Bangkaew Dog,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Tornjak,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Tosa,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,Thai Ridgeback,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
,Treeing Walker Coonhound,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
,Texas Heeler,,,,,,,,Medium,,,,,13,15,,,,,,,,,,,,,,
,Tamaskan Dog,,,,,,,,Large,,,,,14,15,,,,,,,,,,,,,,
,Taco Terrier,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,,
,Vizsla,,,,44.09,39.68,63.93,55.11,Medium,56,53,64,61,12,15,"Sporting,Gun",3,3,3,5,2,3,5,1,5/R34,5,No,700,1200
,Volpino Italiano,,,,9.92,9.03,11.91,9.92,Small,27,25,30,28,,,Northern,,,,,,,,,,,,,
,Welsh Springer Spaniel,,,,35.27,39.68,44.09,44.09,Medium,46,43,48,46,12,15,Sporting,5,4,5,5,3,5/R1,4,3,5/R125,5,No,1200,1400
MD,Wetterhoun,,,,55.11,,77.16,,Medium,55,,59,,,,Gun,,,,,,,,,,,,,
,West Highland White Terrier,,,,15,,20,,Small,14,,16,,12,16,Terrier,4,3,4,4,1,5/R1,4/R47,4,5/R36,4,Yes,600,1200
,Welsh Terrier,,,,20,,22,,Small,15.5,,15.5,,12,15,Terrier,4,2,2,3,1,5/R1,4,4,3/R108,5,Yes,500,800
,Wire Fox Terrier,,,,13.22,15.43,19.84,17.64,Small,14,13,16,15,13,14,Terrier,5,1,2,3,3,5/R1,5,2,3/R96,5,Yes,600,800
,Wirehaired Pointing Griffon,,,,50.71,,59.52,,Medium,55,50,60,55,10,12,"Gun,Sporting",4,3,4,4,3,5/R1,4/R46,3,4/R85,3,Yes,600,700
,West Siberian Laika,,,,40.12,,55.12,,Medium,54,528,60,58,,,Hunting,,,,,,,,,,,,,
,Whippet,,,,15,,30,,Medium,48,45,56,53,12,15,"Hound,Sighthound",3,1,3,3,2,1,3,1,4/R56,4,No,800,1200
,Weimaraner,,,,66.14,55.12,88.18,77.16,Medium,62,59,67,63,10,12,"Sporting,Gun",5,5,5,5,3,3,5,1,5/R32,5,No,600,800
,Xoloitzcuintle,,,,9,,31,,Small,10,,23,,12,15,Non-sporting,3,5,5,3,1,5/R1,3,2,2/R137,5,Yes,600,800
,Yorkshire Terrier,,,,3.5,,8,,Small,7.5,,9,,13,16,Toy,1,4,2,3,3,4,4.5/R27,5,5/R5,5,Yes,500,700
